name,ratings,price,imgURL,storage_ram,os_processor,camera,display,network,battery
"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)",4.3,"₹9,499",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/x/x/s/-original-imagfhu6dcpdnqkh.jpeg?q=70,Internal Storage64 GBRAM4 GBExpandable Storage1 TBSupported Memory Card TypeMIcroSDMemory Card Slot TypeDedicated SlotCall Log MemoryYes,"Operating SystemAndroid 12Processor TypeExynos 850Processor CoreOcta CorePrimary Clock Speed2 GHzOperating Frequency2G GSM: 850/900/1800/1900, 3G UMTS(WCDMA): B1(2100)/B5(850)/B8(900), 4G LTE FDD: B1(2100)/B3(1800)/B5(850)/B7(2600)/B8(900)/B20(800)/B28(700), 4G LTE TDD: B38(2600)/B40(2300)/B41(2500)","Primary Camera AvailableYesPrimary Camera50MP + 5MP + 2MPPrimary Camera FeaturesTriple Camera Setup: 50MP + 5MP + 2MP, Camera Features: Deco Pic, Food, Macro, Panorama, Photo, Portrait, Pro, VideoOptical ZoomYesSecondary Camera AvailableYesSecondary Camera8MP Front CameraSecondary Camera Features8MP Camera SetupFlashRear FlashHD RecordingYesFull HD RecordingYesVideo RecordingYesDigital Zoom10XFrame Rate30 fpsImage EditorYesDual Camera LensPrimary Camera","Display Size16.76 cm (6.6 inch)Resolution2408 x 1080 PixelsResolution TypeFull HD+GPUARM Mali G52Display TypeFull HD+HD Game SupportYesDisplay Colors16MOther Display Features6.6"" FHD+ Dewdrop","Network Type4G, 3G, 2GSupported Networks4G LTE, WCDMA, GSMInternet Connectivity4G, 3G, Wi-Fi, GPRS3G Speed5.76 MbpsGPRSYesPre-installed BrowserGoogle Chrome, Samsung S Browser 14.0Bluetooth SupportYesBluetooth Versionv5.0Wi-FiYesWi-Fi Version802.11 a/b/g/n/ac (2.4 GHz | 5 GHz)Wi-Fi HotspotYesMini HDMI PortNoNFCYesUSB TetheringYesTV OutNoInfraredNoUSB ConnectivityYesAudio Jack3.5mmMap SupportYesGPS SupportYes",Battery Capacity6000 mAhDual BatteryNo
"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",4.3,"₹10,499",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/0/8/4/-original-imagfhu75eupxyft.jpeg?q=70,Internal Storage128 GBRAM4 GBExpandable Storage1 TBSupported Memory Card TypeMIcroSDMemory Card Slot TypeDedicated SlotCall Log MemoryYes,"Operating SystemAndroid 12Processor TypeExynos 850Processor CoreOcta CorePrimary Clock Speed2 GHzOperating Frequency2G GSM: 850/900/1800/1900, 3G UMTS(WCDMA): B1(2100)/B5(850)/B8(900), 4G LTE FDD: B1(2100)/B3(1800)/B5(850)/B7(2600)/B8(900)/B20(800)/B28(700), 4G LTE TDD: B38(2600)/B40(2300)/B41(2500)","Primary Camera AvailableYesPrimary Camera50MP + 5MP + 2MPPrimary Camera FeaturesTriple Camera Setup: 50MP + 5MP + 2MP, Camera Features: Deco Pic, Food, Macro, Panorama, Photo, Portrait, Pro, VideoOptical ZoomYesSecondary Camera AvailableYesSecondary Camera8MP Front CameraSecondary Camera Features8MP Camera SetupFlashRear FlashHD RecordingYesFull HD RecordingYesVideo RecordingYesDigital Zoom10XFrame Rate30 fpsImage EditorYesDual Camera LensPrimary Camera","Display Size16.76 cm (6.6 inch)Resolution2408 x 1080 PixelsResolution TypeFull HD+GPUARM Mali G52Display TypeFull HD+HD Game SupportYesDisplay Colors16MOther Display Features6.6"" FHD+ Dewdrop","Network Type4G, 3G, 2GSupported Networks4G LTE, WCDMA, GSMInternet Connectivity4G, 3G, Wi-Fi, GPRS3G Speed5.76 MbpsGPRSYesPre-installed BrowserGoogle Chrome, Samsung S Browser 14.0Bluetooth SupportYesBluetooth Versionv5.0Wi-FiYesWi-Fi Version802.11 a/b/g/n/ac (2.4 GHz | 5 GHz)Wi-Fi HotspotYesMini HDMI PortNoNFCYesUSB TetheringYesTV OutNoInfraredNoUSB ConnectivityYesAudio Jack3.5mmMap SupportYesGPS SupportYes",Battery Capacity6000 mAhDual BatteryNo
"SAMSUNG Galaxy F13 (Nightsky Green, 128 GB)",4.3,"₹10,499",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/i/v/-original-imagfhu6bdzhnmkz.jpeg?q=70,Internal Storage128 GBRAM4 GBExpandable Storage1 TBSupported Memory Card TypeMIcroSDMemory Card Slot TypeDedicated SlotCall Log MemoryYes,"Operating SystemAndroid 12Processor TypeExynos 850Processor CoreOcta CorePrimary Clock Speed2 GHzOperating Frequency2G GSM: 850/900/1800/1900, 3G UMTS(WCDMA): B1(2100)/B5(850)/B8(900), 4G LTE FDD: B1(2100)/B3(1800)/B5(850)/B7(2600)/B8(900)/B20(800)/B28(700), 4G LTE TDD: B38(2600)/B40(2300)/B41(2500)","Primary Camera AvailableYesPrimary Camera50MP + 5MP + 2MPPrimary Camera FeaturesTriple Camera Setup: 50MP + 5MP + 2MP, Camera Features: Deco Pic, Food, Macro, Panorama, Photo, Portrait, Pro, VideoOptical ZoomYesSecondary Camera AvailableYesSecondary Camera8MP Front CameraSecondary Camera Features8MP Camera SetupFlashRear FlashHD RecordingYesFull HD RecordingYesVideo RecordingYesDigital Zoom10XFrame Rate30 fpsImage EditorYesDual Camera LensPrimary Camera","Display Size16.76 cm (6.6 inch)Resolution2408 x 1080 PixelsResolution TypeFull HD+GPUARM Mali G52Display TypeFull HD+HD Game SupportYesDisplay Colors16MOther Display Features6.6"" FHD+ Dewdrop","Network Type4G, 3G, 2GSupported Networks4G LTE, WCDMA, GSMInternet Connectivity4G, 3G, Wi-Fi, GPRS3G Speed5.76 MbpsGPRSYesPre-installed BrowserGoogle Chrome, Samsung S Browser 14.0Bluetooth SupportYesBluetooth Versionv5.0Wi-FiYesWi-Fi Version802.11 a/b/g/n/ac (2.4 GHz | 5 GHz)Wi-Fi HotspotYesMini HDMI PortNoNFCYesUSB TetheringYesTV OutNoInfraredNoUSB ConnectivityYesAudio Jack3.5mmMap SupportYesGPS SupportYes",Battery Capacity6000 mAhDual BatteryNo
"SAMSUNG Galaxy F13 (Sunrise Copper, 128 GB)",4.3,"₹10,499",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/x/x/s/-original-imagfhu6dcpdnqkh.jpeg?q=70,Internal Storage128 GBRAM4 GBExpandable Storage1 TBSupported Memory Card TypeMIcroSDMemory Card Slot TypeDedicated SlotCall Log MemoryYes,"Operating SystemAndroid 12Processor TypeExynos 850Processor CoreOcta CorePrimary Clock Speed2 GHzOperating Frequency2G GSM: 850/900/1800/1900, 3G UMTS(WCDMA): B1(2100)/B5(850)/B8(900), 4G LTE FDD: B1(2100)/B3(1800)/B5(850)/B7(2600)/B8(900)/B20(800)/B28(700), 4G LTE TDD: B38(2600)/B40(2300)/B41(2500)","Primary Camera AvailableYesPrimary Camera50MP + 5MP + 2MPPrimary Camera FeaturesTriple Camera Setup: 50MP + 5MP + 2MP, Camera Features: Deco Pic, Food, Macro, Panorama, Photo, Portrait, Pro, VideoOptical ZoomYesSecondary Camera AvailableYesSecondary Camera8MP Front CameraSecondary Camera Features8MP Camera SetupFlashRear FlashHD RecordingYesFull HD RecordingYesVideo RecordingYesDigital Zoom10XFrame Rate30 fpsImage EditorYesDual Camera LensPrimary Camera","Display Size16.76 cm (6.6 inch)Resolution2408 x 1080 PixelsResolution TypeFull HD+GPUARM Mali G52Display TypeFull HD+HD Game SupportYesDisplay Colors16MOther Display Features6.6"" FHD+ Dewdrop","Network Type4G, 3G, 2GSupported Networks4G LTE, WCDMA, GSMInternet Connectivity4G, 3G, Wi-Fi, GPRS3G Speed5.76 MbpsGPRSYesPre-installed BrowserGoogle Chrome, Samsung S Browser 14.0Bluetooth SupportYesBluetooth Versionv5.0Wi-FiYesWi-Fi Version802.11 a/b/g/n/ac (2.4 GHz | 5 GHz)Wi-Fi HotspotYesMini HDMI PortNoNFCYesUSB TetheringYesTV OutNoInfraredNoUSB ConnectivityYesAudio Jack3.5mmMap SupportYesGPS SupportYes",Battery Capacity6000 mAhDual BatteryNo
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)",4.3,"₹15,499",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/0/h/k/-original-imagcg22czc3ggvw.jpeg?q=70,Internal Storage128 GBRAM6 GBTotal Memory128 GBExpandable Storage1 TBSupported Memory Card TypeMicroSDMemory Card Slot TypeDedicated SlotCall Log MemoryYes,"Operating SystemAndroid 12Processor TypeQualcomm Snapdragon 750GProcessor CoreOcta CorePrimary Clock Speed2.2 GHzSecondary Clock Speed2.2 GHzOperating Frequency2G GSM: GSM850/GSM900/DCS1800/PCS1900, 3G UMTS(WCDMA): B1(2100)/B2(1900)/B4(AWS)/B5(850)/B8(900), 4G FDD LTE: B1(2100)/B2(1900)/B3(1800)/B4(AWS)/B5(850)/B7(2600)/B8(900)/B12(700)/B17(700)/B20(800)/B26(850)/B28(700)/B66(AWS-3), 4G TDD LTE: B38(2600)/B40(2300)/B41(2500), 5G FDD: N1(2100),N3(1800),N5(850),N7(2600),N8(900),N20(800),N28(700),N66(AWS-3), 5G TDD: N38(2600),N40(2300),N41(2500),N78(3500)","Primary Camera AvailableYesPrimary Camera50MP + 8MP + 2MPPrimary Camera FeaturesTriple Camera Setup: 50MP + 8MP + 2MP, Camera Feature: AR Zone, Bixby Vision, Food, Hyperlapse, Macro, Night, Panorama, Photo, Portrait, Pro, Pro Video, Scene Optimizer, Single Take, Slow Motion, Super Slow-Mo, VideoSecondary Camera AvailableYesSecondary Camera8MP Front CameraSecondary Camera Features8MP Camera Setup Ultra wide cameraFlashYesHD RecordingYesVideo RecordingYesDigital Zoom10XFrame Rate30 fpsImage EditorYesDual Camera LensPrimary Camera",Display Size16.76 cm (6.6 inch)Resolution2408 x 1080 PixelsResolution TypeFull HD+GPUQualcomm Adreno 619Display TypeFull HD+,"Network Type5G, 4G, 3G, 2GSupported Networks5G, 4G LTE, WCDMA, GSMInternet Connectivity5G, 4G, 3G, Wi-FiGPRSYesPre-installed BrowserGoogle Chrome, Samsung S-Browser 13.2Micro USB PortNoMini USB PortNoBluetooth SupportYesBluetooth Versionv5.0Wi-FiYesWi-Fi Version802.11 a/b/g/n/ac (2.4 GHz | 5 GHz)Wi-Fi HotspotYesMini HDMI PortNoNFCYesTV OutNoInfraredNoUSB ConnectivityYesAudio JackYesMap SupportYesGPS SupportYes",Battery Capacity5000 mAh
"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)",4.3,"₹15,499",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/p/z/-original-imagcg22pf79cgau.jpeg?q=70,Internal Storage128 GBRAM6 GBTotal Memory128 GBExpandable Storage1 TBSupported Memory Card TypeMicroSDMemory Card Slot TypeDedicated SlotCall Log MemoryYes,"Operating SystemAndroid 12Processor TypeQualcomm Snapdragon 750GProcessor CoreOcta CorePrimary Clock Speed2.2 GHzSecondary Clock Speed2.2 GHzOperating Frequency2G GSM: GSM850/GSM900/DCS1800/PCS1900, 3G UMTS(WCDMA): B1(2100)/B2(1900)/B4(AWS)/B5(850)/B8(900), 4G FDD LTE: B1(2100)/B2(1900)/B3(1800)/B4(AWS)/B5(850)/B7(2600)/B8(900)/B12(700)/B17(700)/B20(800)/B26(850)/B28(700)/B66(AWS-3), 4G TDD LTE: B38(2600)/B40(2300)/B41(2500), 5G FDD: N1(2100),N3(1800),N5(850),N7(2600),N8(900),N20(800),N28(700),N66(AWS-3), 5G TDD: N38(2600),N40(2300),N41(2500),N78(3500)","Primary Camera AvailableYesPrimary Camera50MP + 8MP + 2MPPrimary Camera FeaturesTriple Camera Setup: 50MP + 8MP + 2MP, Camera Feature: AR Zone, Bixby Vision, Food, Hyperlapse, Macro, Night, Panorama, Photo, Portrait, Pro, Pro Video, Scene Optimizer, Single Take, Slow Motion, Super Slow-Mo, VideoSecondary Camera AvailableYesSecondary Camera8MP Front CameraSecondary Camera Features8MP Camera Setup Ultra wide cameraFlashYesHD RecordingYesVideo RecordingYesDigital Zoom10XFrame Rate30 fpsImage EditorYesDual Camera LensPrimary Camera",Display Size16.76 cm (6.6 inch)Resolution2408 x 1080 PixelsResolution TypeFull HD+GPUQualcomm Adreno 619Display TypeFull HD+,"Network Type5G, 4G, 3G, 2GSupported Networks5G, 4G LTE, WCDMA, GSMInternet Connectivity5G, 4G, 3G, Wi-FiGPRSYesPre-installed BrowserGoogle Chrome, Samsung S-Browser 13.2Micro USB PortNoMini USB PortNoBluetooth SupportYesBluetooth Versionv5.0Wi-FiYesWi-Fi Version802.11 a/b/g/n/ac (2.4 GHz | 5 GHz)Wi-Fi HotspotYesMini HDMI PortNoNFCYesTV OutNoInfraredNoUSB ConnectivityYesAudio JackYesMap SupportYesGPS SupportYes",Battery Capacity5000 mAh
"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)",4.2,"₹6,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/7/p/9/-original-imaghgbyypzkzvud.jpeg?q=70,Internal Storage64 GBRAM4 GBTotal Memory64 GBExpandable Storage1 TBSupported Memory Card TypeMicroSD,"Operating SystemAndroid 12Processor TypeMediatek Helio P35Primary Clock Speed2.3 GHzSecondary Clock Speed1.8 GHzOperating Frequency2G GSM: 850/900/1800 MHz, 3G UMTS(WCDMA): B1/B5/B8, 4G LTE FDD: B1/B3/B5/B7/B8/B20/B28, 4G LTE TDD: B38/B40/B41","Primary Camera AvailableYesPrimary Camera13MP + 2MPPrimary Camera FeaturesDual Camera Setup: 13 MP Main Camera(f/2.2 Aperture) + 2 MP Camera, Auto Focus, Camera Feature: Food, Hyperlapse, Panorama, Photo, Portrait, Pro, VideoOptical ZoomYesSecondary Camera AvailableYesSecondary Camera5MP Front CameraSecondary Camera Features5 MP Camera Setup: (f/2.2 Aperture)FlashYesHD RecordingYesVideo RecordingYesDigital ZoomUpto 10x ZoomFrame Rate30 fpsDual Camera LensPrimary Camera",Display Size16.51 cm (6.5 inch)Resolution1600 x 720 PixelsResolution TypeHDGPUImagination GE8320Display TypeHD LCD DisplayHD Game SupportYesOther Display FeaturesHD+ LCD In-Cell Touch Display,"Network Type4G, 3G, 2GSupported NetworksGSM, CDMA, 4G LTE3G Speed5.76 MbpsBluetooth SupportYesBluetooth Versionv5.0Wi-FiYesWi-Fi Version802.11Wi-Fi HotspotYesMini HDMI PortNoNFCNoUSB TetheringYesUSB ConnectivityYesAudio JackType CMap SupportGoogle MapsGPS SupportYes",Battery Capacity5000 mAhDual BatteryNo
"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",4.2,"₹6,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/w/d/o/-original-imaghgbyhy6banxv.jpeg?q=70,Internal Storage64 GBRAM4 GBTotal Memory64 GBExpandable Storage1 TBSupported Memory Card TypeMicroSD,"Operating SystemAndroid 12Processor TypeMediatek Helio P35Primary Clock Speed2.3 GHzSecondary Clock Speed1.8 GHzOperating Frequency2G GSM: 850/900/1800 MHz, 3G UMTS(WCDMA): B1/B5/B8, 4G LTE FDD: B1/B3/B5/B7/B8/B20/B28, 4G LTE TDD: B38/B40/B41","Primary Camera AvailableYesPrimary Camera13MP + 2MPPrimary Camera FeaturesDual Camera Setup: 13 MP Main Camera(f/2.2 Aperture) + 2 MP Camera, Auto Focus, Camera Feature: Food, Hyperlapse, Panorama, Photo, Portrait, Pro, VideoOptical ZoomYesSecondary Camera AvailableYesSecondary Camera5MP Front CameraSecondary Camera Features5 MP Camera Setup: (f/2.2 Aperture)FlashYesHD RecordingYesVideo RecordingYesDigital ZoomUpto 10x ZoomFrame Rate30 fpsDual Camera LensPrimary Camera",Display Size16.51 cm (6.5 inch)Resolution1600 x 720 PixelsResolution TypeHDGPUImagination GE8320Display TypeHD LCD DisplayHD Game SupportYesOther Display FeaturesHD+ LCD In-Cell Touch Display,"Network Type4G, 3G, 2GSupported NetworksGSM, CDMA, 4G LTE3G Speed5.76 MbpsBluetooth SupportYesBluetooth Versionv5.0Wi-FiYesWi-Fi Version802.11Wi-Fi HotspotYesMini HDMI PortNoNFCNoUSB TetheringYesUSB ConnectivityYesAudio JackType CMap SupportGoogle MapsGPS SupportYes",Battery Capacity5000 mAhDual BatteryNo
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)",4.2,"₹13,990",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/i/k/galaxy-f14-5g-sm-e146bzggins-samsung-original-imagnzdkprfwj9hv.jpeg?q=70,Internal Storage128 GBRAM6 GBExpandable Storage1 TBSupported Memory Card TypeMicroSDMemory Card Slot TypeDedicated Slot,"Operating SystemAndroid 13Processor TypeExynos 1330, Octa CoreProcessor CoreOcta CorePrimary Clock Speed2.4 GHzSecondary Clock Speed2 GHzOperating Frequency2G GSM: GSM850/GSM900/DCS1800/PCS1900, 3G UMTS(WCDMA): B1(2100)/B2(1900)/B4(AWS)/B5(850)/B8(900), 4G LTE FDD: B1(2100)/B2(1900)/B3(1800)/B4(AWS)/B5(850)/B7(2600)/B8(900)/B12(700)/B17(700)/B20(800)/B26(850)/B28(700)/B66(AWS-3), 5G: N1(2100)/N3(1800)/N5(850)/N7(2600)/N8(900)/N20(800)/N28(700)/N66(AWS-3)","Primary Camera AvailableYesPrimary Camera50MP + 2MPPrimary Camera FeaturesDual Camera Setup: 50MP Main Camera + 2MP Camera, Camera Features: Deco Pic, Food, Macro, Panorama, Photo, Portrait, Pro, VideoOptical ZoomYesSecondary Camera AvailableYesSecondary Camera13MP Front CameraSecondary Camera Features13MP Front Camera Setup: Camera Features: Fixed FocusFlashBack FlashHD RecordingYesFull HD RecordingYesVideo RecordingYesVideo Recording ResolutionFHD (1920 x 1080)Digital Zoom10XFrame Rate30 fpsImage EditorYesDual Camera LensPrimary Camera",Display Size16.76 cm (6.6 inch)Resolution2408 x 1080 PixelsResolution TypeFull HD+GPUARM Mali G68 MP2Display TypeFull HD+ LCD DisplayHD Game SupportYesDisplay Colors16 MillionOther Display FeaturesIn-Cell Touch Display,"Network Type2G, 3G, 4G, 5GSupported Networks4G LTE, 5G, GSM, WCDMAInternet Connectivity5G, 4G, 3G, 2G3GYes3G Speed5.76 MbpsMicro USB PortNoMini USB PortNoBluetooth SupportYesBluetooth Versionv5.2Wi-FiYesWi-Fi Version802.11Wi-Fi HotspotYesMini HDMI PortNoNFCNoUSB TetheringYesUSB ConnectivityYesAudio Jack3.5mmMap SupportGoogle MapsGPS SupportYes",Battery Capacity6000 mAhBattery TypeLithium IonDual BatteryNo
"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)",4.3,"₹15,499",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/f/c/v/-original-imagehzbaw2wugme.jpeg?q=70,Internal Storage128 GBRAM6 GBTotal Memory128 GBExpandable Storage1 TBSupported Memory Card TypeMicroSDMemory Card Slot TypeDedicated SlotCall Log MemoryYes,"Operating SystemAndroid 12Processor TypeQualcomm Snapdragon 750GProcessor CoreOcta CorePrimary Clock Speed2.2 GHzSecondary Clock Speed2.2 GHzOperating Frequency2G GSM: GSM850/GSM900/DCS1800/PCS1900, 3G UMTS(WCDMA): B1(2100)/B2(1900)/B4(AWS)/B5(850)/B8(900), 4G FDD LTE: B1(2100)/B2(1900)/B3(1800)/B4(AWS)/B5(850)/B7(2600)/B8(900)/B12(700)/B17(700)/B20(800)/B26(850)/B28(700)/B66(AWS-3), 4G TDD LTE: B38(2600)/B40(2300)/B41(2500), 5G FDD: N1(2100),N3(1800),N5(850),N7(2600),N8(900),N20(800),N28(700),N66(AWS-3), 5G TDD: N38(2600),N40(2300),N41(2500),N78(3500)","Primary Camera AvailableYesPrimary Camera50MP + 8MP + 2MPPrimary Camera FeaturesTriple Camera Setup: 50MP + 8MP + 2MP, Camera Feature: AR Zone, Bixby Vision, Food, Hyperlapse, Macro, Night, Panorama, Photo, Portrait, Pro, Pro Video, Scene Optimizer, Single Take, Slow Motion, Super Slow-Mo, VideoSecondary Camera AvailableYesSecondary Camera8MP Front CameraSecondary Camera Features8MP Camera Setup Ultra wide cameraFlashYesHD RecordingYesVideo RecordingYesDigital Zoom10XFrame Rate30 fpsImage EditorYesDual Camera LensPrimary Camera",Display Size16.76 cm (6.6 inch)Resolution2408 x 1080 PixelsResolution TypeFull HD+GPUQualcomm Adreno 619Display TypeFull HD+,"Network Type5G, 4G, 3G, 2GSupported Networks5G, 4G LTE, WCDMA, GSMInternet Connectivity5G, 4G, 3G, Wi-FiGPRSYesPre-installed BrowserGoogle Chrome, Samsung S-Browser 13.2Micro USB PortNoMini USB PortNoBluetooth SupportYesBluetooth Versionv5.0Wi-FiYesWi-Fi Version802.11 a/b/g/n/ac (2.4 GHz | 5 GHz)Wi-Fi HotspotYesMini HDMI PortNoNFCYesTV OutNoInfraredNoUSB ConnectivityYesAudio JackYesMap SupportYesGPS SupportYes",Battery Capacity5000 mAh
